year,category,nominee,film,won,total_nominations
1995,Other,Elton John/Tim Rice,The Lion King,False,4.0
1995,Other,Carole Bayer Sager/James Newton Howard/James Ingram/Patty Smyth,Junior,False,1.0
1995,Other,Randy Newman,The Paper,False,1.0
1995,Best Picture,Wendy Finerman/Steve Tisch/Steve Starkey,Forrest Gump,True,13.0
1995,Best Picture,Duncan Kenworthy,Four Weddings and a Funeral,False,2.0
1995,Best Picture,Lawrence Bender,Pulp Fiction,False,7.0
1995,Best Picture,Robert Redford/Michael Jacobs/Julian Krainin/Michael Nozik,Quiz Show,False,4.0
1995,Best Picture,Niki Marvin,The Shawshank Redemption,False,7.0
1995,Other,Tim Watts/David Stoten,The Big Story,False,1.0
1995,Other,Alison Snowden/David Fine,Bob's Birthday,True,1.0
1995,Other,Vanessa Schwartz,The Janitor,False,1.0
1995,Other,Michael Dudok de Wit,The Monk and the Fish,False,1.0
1995,Other,Erica Russell,Triangle,False,1.0
1995,Other,Peter Capaldi/Ruth Kenley-Letts,Franz Kafka's It's a Wonderful Life,True,1.0
1995,Other,Sean Astin/Christine Astin,Kangaroo Court,False,1.0
1995,Other,JoBeth Williams/Michele McGuire,On Hope,False,1.0
1995,Other,Paul Unwin/Nick Vivian,Syrup,False,1.0
1995,Other,Peggy Rajski/Randy Stone,Trevor,True,1.0
1995,Other,Donald O. Mitchell/Michael Herbick/Frank A. Montaño/Arthur Rochester,Clear and Present Danger,False,2.0
1995,Other,Randy Thom/Tom Johnson/Dennis Sands/William B. Kaplan,Forrest Gump,False,13.0
1995,Other,Paul Massey/David Campbell/Christopher David/Douglas Ganton,Legends of the Fall,False,3.0
1995,Other,Robert J. Litt/Elliot Tyson/Michael Herbick/Willie Burton,The Shawshank Redemption,False,7.0
1995,Other,Gregg Landaker/Steve Maslow/Bob Beemer/David R. B. MacMillan,Speed,True,3.0
1995,Other,Bruce Stambler/John Leveque,Clear and Present Danger,False,2.0
1995,Other,Gloria S. Borders/Randy Thom,Forrest Gump,False,13.0
1995,Other,Stephen Hunter Flick,Speed,True,3.0
1995,Other,Ken Ralston/George Murphy/Stephen Rosenbaum/Allen Hall,Forrest Gump,True,13.0
1995,Other,Scott Squires/Steve Williams/Tom Bertino/Jon Farhat,The Mask,False,1.0
1995,Other,John Bruno/Thomas L. Fisher/Jacques Stroweis/Patrick McClung,True Lies,False,1.0
1995,Other,Eric Roth,Forrest Gump,True,13.0
1995,Other,Alan Bennett,The Madness of King George,False,4.0
1995,Other,Robert Benton,Nobody's Fool,False,2.0
1995,Other,Paul Attanasio,Quiz Show,False,4.0
1995,Other,Frank Darabont,The Shawshank Redemption,False,7.0
1995,Other,Woody Allen/Douglas McGrath,Bullets over Broadway,False,7.0
1995,Other,Richard Curtis,Four Weddings and a Funeral,False,2.0
1995,Other,Frances Walsh/Peter Jackson,Heavenly Creatures,False,1.0
1995,Other,Quentin Tarantino/Roger Avary,Pulp Fiction,True,7.0
1995,Other,Krzysztof Piesiewicz/Krzysztof Kieslowski,Red,False,3.0
1995,Other,Quincy Jones,,True,
1995,Other,Michelangelo Antonioni,,True,
1995,Other,Clint Eastwood,,True,
1995,Other,John A. Bonner,,True,
1996,Leading Actor,Nicolas Cage,Leaving Las Vegas,True,4.0
1996,Leading Actor,Richard Dreyfuss,Mr. Holland's Opus,False,1.0
1996,Leading Actor,Anthony Hopkins,Nixon,False,4.0
1996,Leading Actor,Sean Penn,Dead Man Walking,False,4.0
1996,Leading Actor,Massimo Troisi,The Postman (Il Postino),False,5.0
1996,Supporting Actor,James Cromwell,Babe,False,7.0
1996,Supporting Actor,Ed Harris,Apollo 13,False,9.0
1996,Supporting Actor,Brad Pitt,12 Monkeys,False,2.0
1996,Supporting Actor,Tim Roth,Rob Roy,False,1.0
1996,Supporting Actor,Kevin Spacey,The Usual Suspects,True,2.0
1996,Leading Actress,Susan Sarandon,Dead Man Walking,True,4.0
1996,Leading Actress,Elisabeth Shue,Leaving Las Vegas,False,4.0
1996,Leading Actress,Sharon Stone,Casino,False,1.0
1996,Leading Actress,Meryl Streep,The Bridges of Madison County,False,1.0
1996,Leading Actress,Emma Thompson,Sense and Sensibility,False,7.0
1996,Supporting Actress,Joan Allen,Nixon,False,4.0
1996,Supporting Actress,Kathleen Quinlan,Apollo 13,False,9.0
1996,Supporting Actress,Mira Sorvino,Mighty Aphrodite,True,2.0
1996,Supporting Actress,Mare Winningham,Georgia,False,1.0
1996,Supporting Actress,Kate Winslet,Sense and Sensibility,False,7.0
1996,Other,Michael Corenblith/Merideth Boswell,Apollo 13,False,9.0
1996,Other,Roger Ford/Kerrie Brown,Babe,False,7.0
1996,Other,Bo Welch/Cheryl Carasik,A Little Princess,False,2.0
1996,Other,Eugenio Zanetti,Restoration,True,2.0
1996,Other,Tony Burrough,Richard III,False,2.0
1996,Cinematography,Stephen Goldblatt,Batman Forever,False,3.0
1996,Cinematography,John Toll,Braveheart,True,10.0
1996,Cinematography,Emmanuel Lubezki,A Little Princess,False,2.0
1996,Cinematography,Michael Coulter,Sense and Sensibility,False,7.0
1996,Cinematography,Lu Yue,Shanghai Triad,False,1.0
1996,Other,Charles Knode,Braveheart,False,10.0
1996,Other,James Acheson,Restoration,True,2.0
1996,Other,Shuna Harwood,Richard III,False,2.0
1996,Other,Jenny Beavan/John Bright,Sense and Sensibility,False,7.0
1996,Other,Julie Weiss,12 Monkeys,False,2.0
1996,Director,Chris Noonan,Babe,False,7.0
1996,Director,Mel Gibson,Braveheart,True,10.0
1996,Director,Tim Robbins,Dead Man Walking,False,4.0
1996,Director,Mike Figgis,Leaving Las Vegas,False,4.0
1996,Director,Michael Radford,The Postman (Il Postino),False,5.0
1996,Other,Jon Blair,Anne Frank Remembered,True,1.0
1996,Other,Thomas Lennon/Michael Epstein,The Battle over Citizen Kane,False,1.0
1996,Other,Allan Miller/Walter Scheuer,Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program,False,1.0
1996,Other,Mike Tollin/Fredric Golding,Hank Aaron: Chasing the Dream,False,1.0
1996,Other,Jeanne Jordan/Steven Ascher,Troublesome Creek: A Midwestern,False,1.0
1996,Other,Nancy Dine/Richard Stilwell,Jim Dine: A Self-Portrait on the Walls,False,1.0
1996,Other,Greg MacGillivray/Alec Lorimore,The Living Sea,False,1.0
1996,Other,Terry Sanders/Freida Lee Mock,Never Give Up: The 20th Century Odyssey of Herbert Zipper,False,1.0
1996,Other,Kary Antholis,One Survivor Remembers,True,1.0
1996,Other,Charles Guggenheim,The Shadow of Hate,False,1.0
1996,Film Editing,Mike Hill/Dan Hanley,Apollo 13,True,9.0
1996,Film Editing,Marcus D'Arcy/Jay Friedkin,Babe,False,7.0
1996,Film Editing,Steven Rosenblum,Braveheart,False,10.0
1996,Film Editing,Chris Lebenzon,Crimson Tide,False,3.0
1996,Film Editing,Richard Francis-Bruce,Seven,False,1.0
1996,Other,Sweden,All Things Fair,False,1.0
1996,Other,The Netherlands,Antonia's Line,True,1.0
1996,Other,Algeria,Dust of Life,False,1.0
1996,Other,Brazil,O Quatrilho,False,1.0
1996,Other,Italy,The Star Maker,False,1.0
1996,Other,Peter Frampton/Paul Pattison/Lois Burwell,Braveheart,True,10.0
1996,Other,Ken Diaz/Mark Sanchez,"My Family, Mi Familia",False,1.0
1996,Other,Greg Cannom/Bob Laden/Colleen Callaghan,Roommates,False,1.0
1996,Other,James Horner,Apollo 13,False,9.0
1996,Other,James Horner,Braveheart,False,10.0
1996,Other,John Williams,Nixon,False,4.0
1996,Other,Luis Enrique Bacalov,The Postman (Il Postino),True,5.0
1996,Other,Patrick Doyle,Sense and Sensibility,False,7.0
1996,Other,Marc Shaiman,The American President,False,1.0
1996,Other,Alan Menken/Stephen Schwartz,Pocahontas,True,2.0
1996,Other,John Williams,Sabrina,False,2.0
1996,Other,Randy Newman,Toy Story,False,4.0
1996,Other,Thomas Newman,Unstrung Heroes,False,1.0
1996,Other,Alan Menken/Stephen Schwartz,Pocahontas,True,2.0
1996,Other,Bruce Springsteen,Dead Man Walking,False,4.0
1996,Other,Michael Kamen/Bryan Adams/Robert John Lange,Don Juan DeMarco,False,1.0
1996,Other,John Williams/Alan Bergman/Marilyn Bergman,Sabrina,False,2.0
1996,Other,Randy Newman,Toy Story,False,4.0
1996,Best Picture,Brian Grazer,Apollo 13,False,9.0
1996,Best Picture,George Miller/Doug Mitchell/Bill Miller,Babe,False,7.0
1996,Best Picture,Mel Gibson/Alan Ladd Jr./Bruce Davey,Braveheart,True,10.0
1996,Best Picture,Mario Cecchi Gori/Vittorio Cecchi Gori/Gaetano Daniele,The Postman (Il Postino),False,5.0
1996,Best Picture,Lindsay Doran,Sense and Sensibility,False,7.0
1996,Other,John R. Dilworth,The Chicken from Outer Space,False,1.0
1996,Other,Nick Park,A Close Shave,True,1.0
1996,Other,Chris Landreth/Robin Bargar,the end,False,1.0
1996,Other,Alexij Kharitidi,Gagarin,False,1.0
1996,Other,Chris Bailey,Runaway Brain,False,1.0
1996,Other,Luke Cresswell/Steve McNicholas,Brooms,False,1.0
1996,Other,Griffin Dunne/Thom Colwell,Duke of Groove,False,1.0
1996,Other,Christine Lahti/Jana Sue Memel,Lieberman in Love,True,1.0
1996,Other,Jeff Goldblum/Tikki Goldberg,Little Surprises,False,1.0
1996,Other,Dianne Houston/Joy Ryan,Tuesday Morning Ride,False,1.0
1996,Other,Rick Dior/Steve Pederson/Scott Millan/David MacMillan,Apollo 13,True,9.0
1996,Other,Donald O. Mitchell/Frank A. Montaño/Michael Herbick/Petur Hliddal,Batman Forever,False,3.0
1996,Other,Andy Nelson/Scott Millan/Anna Behlmer/Brian Simmons,Braveheart,False,10.0
1996,Other,Kevin O'Connell/Rick Kline/Gregory H. Watkins/William B. Kaplan,Crimson Tide,False,3.0
1996,Other,Steve Maslow/Gregg Landaker/Keith A. Wester,Waterworld,False,1.0
1996,Other,John Leveque/Bruce Stambler,Batman Forever,False,3.0
1996,Other,Lon Bender/Per Hallberg,Braveheart,True,10.0
1996,Other,George Watters II,Crimson Tide,False,3.0
1996,Other,Robert Legato/Michael Kanfer/Leslie Ekker/Matt Sweeney,Apollo 13,False,9.0
1996,Other,Scott E. Anderson/Charles Gibson/Neal Scanlan/John Cox,Babe,True,7.0
1996,Other,William Broyles Jr./Al Reinert,Apollo 13,False,9.0
1996,Other,George Miller/Chris Noonan,Babe,False,7.0
1996,Other,Mike Figgis,Leaving Las Vegas,False,4.0
1996,Other,Anna Pavignano/Michael Radford/Furio Scarpelli/Giacomo Scarpelli/Massimo Troisi,The Postman (Il Postino),False,5.0
1996,Other,Emma Thompson,Sense and Sensibility,True,7.0
1996,Other,Randall Wallace,Braveheart,False,10.0
1996,Other,Woody Allen,Mighty Aphrodite,False,2.0
1996,Other,Stephen J. Rivele/Christopher Wilkinson/Oliver Stone,Nixon,False,4.0
1996,Other,Joss Whedon/Andrew Stanton/Joel Cohen/Alec Sokolow/John Lasseter/Peter Docter/Joe Ranft,Toy Story,False,4.0
1996,Other,Christopher McQuarrie,The Usual Suspects,True,2.0
1996,Other,John Lasseter,Toy Story,True,4.0
1996,Other,Kirk Douglas,,True,
1996,Other,Chuck Jones,,True,
1996,Other,Donald C. Rogers,,True,
1997,Leading Actor,Tom Cruise,Jerry Maguire,False,5.0
1997,Leading Actor,Ralph Fiennes,The English Patient,False,12.0
1997,Leading Actor,Woody Harrelson,The People vs. Larry Flynt,False,2.0
1997,Leading Actor,Geoffrey Rush,Shine,True,7.0
1997,Leading Actor,Billy Bob Thornton,Sling Blade,False,2.0
1997,Supporting Actor,Cuba Gooding Jr.,Jerry Maguire,True,5.0
1997,Supporting Actor,William H. Macy,Fargo,False,7.0
1997,Supporting Actor,Armin Mueller-Stahl,Shine,False,7.0
1997,Supporting Actor,Edward Norton,Primal Fear,False,1.0
1997,Supporting Actor,James Woods,Ghosts of Mississippi,False,2.0
1997,Leading Actress,Brenda Blethyn,Secrets & Lies,False,5.0
1997,Leading Actress,Diane Keaton,Marvin's Room,False,1.0
1997,Leading Actress,Frances McDormand,Fargo,True,7.0
1997,Leading Actress,Kristin Scott Thomas,The English Patient,False,12.0
1997,Leading Actress,Emily Watson,Breaking the Waves,False,1.0
1997,Supporting Actress,Joan Allen,The Crucible,False,2.0
1997,Supporting Actress,Lauren Bacall,The Mirror Has Two Faces,False,2.0
1997,Supporting Actress,Juliette Binoche,The English Patient,True,12.0
1997,Supporting Actress,Barbara Hershey,The Portrait of a Lady,False,2.0
1997,Supporting Actress,Marianne Jean-Baptiste,Secrets & Lies,False,5.0
1997,Other,Bo Welch/Cheryl Carasik,The Birdcage,False,1.0
1997,Other,Stuart Craig/Stephenie McMillan,The English Patient,True,12.0
1997,Other,Brian Morris/Philippe Turlure,Evita,False,5.0
1997,Other,Tim Harvey,Hamlet,False,4.0
1997,Other,Catherine Martin/Brigitte Broch,William Shakespeare's Romeo & Juliet,False,1.0
1997,Cinematography,John Seale,The English Patient,True,12.0
1997,Cinematography,Darius Khondji,Evita,False,5.0
1997,Cinematography,Roger Deakins,Fargo,False,7.0
1997,Cinematography,Caleb Deschanel,Fly Away Home,False,1.0
1997,Cinematography,Chris Menges,Michael Collins,False,2.0
1997,Other,Paul Brown,Angels and Insects,False,1.0
1997,Other,Ruth Myers,Emma,False,2.0
1997,Other,Ann Roth,The English Patient,True,12.0
1997,Other,Alex Byrne,Hamlet,False,4.0
1997,Other,Janet Patterson,The Portrait of a Lady,False,2.0
1997,Director,Anthony Minghella,The English Patient,True,12.0
1997,Director,Joel Coen,Fargo,False,7.0
1997,Director,Milos Forman,The People vs. Larry Flynt,False,2.0
1997,Director,Mike Leigh,Secrets & Lies,False,5.0
1997,Director,Scott Hicks,Shine,False,7.0
1997,Other,Susan W. Dryfoos,The Line King: The Al Hirschfeld Story,False,1.0
1997,Other,Jo Menell/Angus Gibson,Mandela,False,1.0
1997,Other,Anne Belle/Deborah Dickson,Suzanne Farrell: Elusive Muse,False,1.0
1997,Other,Rick Goldsmith,Tell the Truth and Run: George Seldes and the American Press,False,1.0
1997,Other,Leon Gast/David Sonenberg,When We Were Kings,True,1.0
1997,Other,Jessica Yu,Breathing Lessons: The Life and Work of Mark O'Brien,True,1.0
1997,Other,Jeffrey Marvin/Bayley Silleck,Cosmic Voyage,False,1.0
1997,Other,Perry Wolff,An Essay on Matisse,False,1.0
1997,Other,Susanne Simpson/Ben Burtt,Special Effects,False,1.0
1997,Other,Paul Seydor/Nick Redman,The Wild Bunch: An Album in Montage,False,1.0
1997,Film Editing,Walter Murch,The English Patient,True,12.0
1997,Film Editing,Gerry Hambling,Evita,False,5.0
1997,Film Editing,Roderick Jaynes,Fargo,False,7.0
1997,Film Editing,Joe Hutshing,Jerry Maguire,False,5.0
1997,Film Editing,Pip Karmel,Shine,False,7.0
1997,Other,Georgia,A Chef in Love,False,1.0
1997,Other,Czech Republic,Kolya,True,1.0
1997,Other,Norway,The Other Side of Sunday,False,1.0
1997,Other,Russia,Prisoner of the Mountains,False,1.0
1997,Other,France,Ridicule,False,1.0
1997,Other,Matthew W. Mungle/Deborah La Mia Denaver,Ghosts of Mississippi,False,2.0
1997,Other,Rick Baker/David LeRoy Anderson,The Nutty Professor,True,1.0
1997,Other,Michael Westmore/Scott Wheeler/Jake Garber,Star Trek: First Contact,False,1.0
1997,Other,Gabriel Yared,The English Patient,True,12.0
1997,Other,Patrick Doyle,Hamlet,False,4.0
1997,Other,Elliot Goldenthal,Michael Collins,False,2.0
1997,Other,David Hirschfelder,Shine,False,7.0
1997,Other,John Williams,Sleepers,False,1.0
1997,Other,Rachel Portman,Emma,True,2.0
1997,Other,Marc Shaiman,The First Wives Club,False,1.0
1997,Other,Alan Menken/Stephen Schwartz,The Hunchback of Notre Dame,False,1.0
1997,Other,Randy Newman,James and the Giant Peach,False,1.0
1997,Other,Hans Zimmer,The Preacher's Wife,False,1.0
1997,Other,Diane Warren,Up Close and Personal,False,1.0
1997,Other,James Newton Howard/Jud J. Friedman/Allan Dennis Rich,One Fine Day,False,1.0
1997,Other,Barbra Streisand/Marvin Hamlisch/Bryan Adams/Robert 'Mutt' Lange,The Mirror Has Two Faces,False,2.0
1997,Other,Adam Schlesinger,That Thing You Do!,False,1.0
1997,Other,Andrew Lloyd Webber/Tim Rice,Evita,True,5.0
1997,Best Picture,Saul Zaentz,The English Patient,True,12.0
1997,Best Picture,Ethan Coen,Fargo,False,7.0
1997,Best Picture,James L. Brooks/Laurence Mark/Richard Sakai/Cameron Crowe,Jerry Maguire,False,5.0
1997,Best Picture,Simon Channing-Williams,Secrets & Lies,False,5.0
1997,Best Picture,Jane Scott,Shine,False,7.0
1997,Other,Timothy Hittle/Chris Peterson,Canhead,False,1.0
1997,Other,Richard Condie,La Salla,False,1.0
1997,Other,Tyron Montgomery/Thomas Stellmach,Quest,True,1.0
1997,Other,Peter Lord,Wat's Pig,False,1.0
1997,Other,Antonio Urrutia,"De Tripas, Corazon",False,1.0
1997,Other,David Frankel/Barry Jossen,Dear Diary,True,1.0
1997,Other,Kim Magnusson/Anders Thomas Jensen,Ernst & Lyset,False,1.0
1997,Other,Juan Carlos Fresnadillo,Esposados,False,1.0
1997,Other,Bernadette Carranza/Antonello De Leo,Wordless,False,1.0
1997,Other,Walter Murch/Mark Berger/David Parker/Chris Newman,The English Patient,True,12.0
1997,Other,Andy Nelson/Anna Behlmer/Ken Weston,Evita,False,5.0
1997,Other,Chris Carpenter/Bill W. Benton/Bob Beemer/Jeff Wexler,Independence Day,False,2.0
1997,Other,Kevin O'Connell/Greg P. Russell/Keith A. Wester,The Rock,False,1.0
1997,Other,Steve Maslow/Gregg Landaker/Kevin O'Connell/Geoffrey Patterson,Twister,False,2.0
1997,Other,Richard L. Anderson/David A. Whittaker,Daylight,False,1.0
1997,Other,Alan Robert Murray/Bub Asman,Eraser,False,1.0
1997,Other,Bruce Stambler,The Ghost and the Darkness,True,1.0
1997,Other,Scott Squires/Phil Tippett/James Straus/Kit West,Dragonheart,False,1.0
1997,Other,Volker Engel/Douglas Smith/Clay Pinney/Joseph Viskocil,Independence Day,True,2.0
1997,Other,Stefen Fangmeier/John Frazier/Habib Zargarpour/Henry La Bounta,Twister,False,2.0
1997,Other,Arthur Miller,The Crucible,False,2.0
1997,Other,Anthony Minghella,The English Patient,False,12.0
1997,Other,Kenneth Branagh,Hamlet,False,4.0
1997,Other,Billy Bob Thornton,Sling Blade,True,2.0
1997,Other,John Hodge,Trainspotting,False,1.0
1997,Other,Ethan Coen/Joel Coen,Fargo,True,7.0
1997,Other,Cameron Crowe,Jerry Maguire,False,5.0
1997,Other,John Sayles,Lone Star,False,1.0
1997,Other,Mike Leigh,Secrets & Lies,False,5.0
1997,Other,Jan Sardi/Scott Hicks,Shine,False,7.0
1997,Other,Michael Kidd,,True,
1997,Other,Saul Zaentz,,True,
1997,Other,Joe Lombardi,,True,
1997,Other,Volker W. Bahnemann,,True,
1997,Other,"Burton ""Bud"" Stone",,True,
1998,Leading Actor,Matt Damon,Good Will Hunting,False,9.0
1998,Leading Actor,Robert Duvall,The Apostle,False,1.0
1998,Leading Actor,Peter Fonda,Ulee's Gold,False,1.0
1998,Leading Actor,Dustin Hoffman,Wag the Dog,False,2.0
1998,Leading Actor,Jack Nicholson,As Good as It Gets,True,7.0
1998,Supporting Actor,Robert Forster,Jackie Brown,False,1.0
1998,Supporting Actor,Anthony Hopkins,Amistad,False,4.0
1998,Supporting Actor,Greg Kinnear,As Good as It Gets,False,7.0
1998,Supporting Actor,Burt Reynolds,Boogie Nights,False,3.0
1998,Supporting Actor,Robin Williams,Good Will Hunting,True,9.0
1998,Leading Actress,Helena Bonham Carter,The Wings of the Dove,False,4.0
1998,Leading Actress,Julie Christie,Afterglow,False,1.0
1998,Leading Actress,Judi Dench,Mrs. Brown,False,2.0
1998,Leading Actress,Helen Hunt,As Good as It Gets,True,7.0
1998,Leading Actress,Kate Winslet,Titanic,False,14.0
1998,Supporting Actress,Kim Basinger,L.A. Confidential,True,9.0
1998,Supporting Actress,Joan Cusack,In & Out,False,1.0
1998,Supporting Actress,Minnie Driver,Good Will Hunting,False,9.0
1998,Supporting Actress,Julianne Moore,Boogie Nights,False,3.0
1998,Supporting Actress,Gloria Stuart,Titanic,False,14.0
1998,Other,Jan Roelfs/Nancy Nye,Gattaca,False,1.0
1998,Other,Dante Ferretti/Francesca Lo Schiavo,Kundun,False,4.0
1998,Other,Jeannine Oppewall/Jay R. Hart,L.A. Confidential,False,9.0
1998,Other,Bo Welch/Cheryl Carasik,Men in Black,False,3.0
1998,Other,Peter Lamont/Michael Ford,Titanic,True,14.0
1998,Cinematography,Janusz Kaminski,Amistad,False,4.0
1998,Cinematography,Roger Deakins,Kundun,False,4.0
1998,Cinematography,Dante Spinotti,L.A. Confidential,False,9.0
1998,Cinematography,Russell Carpenter,Titanic,True,14.0
1998,Cinematography,Eduardo Serra,The Wings of the Dove,False,4.0
1998,Other,Ruth E. Carter,Amistad,False,4.0
1998,Other,Dante Ferretti,Kundun,False,4.0
1998,Other,Janet Patterson,Oscar and Lucinda,False,1.0
1998,Other,Deborah L. Scott,Titanic,True,14.0
1998,Other,Sandy Powell,The Wings of the Dove,False,4.0
1998,Director,Peter Cattaneo,The Full Monty,False,4.0
1998,Director,Gus Van Sant,Good Will Hunting,False,9.0
1998,Director,Curtis Hanson,L.A. Confidential,False,9.0
1998,Director,Atom Egoyan,The Sweet Hereafter,False,2.0
1998,Director,James Cameron,Titanic,True,14.0
1998,Other,Michael Paxton,Ayn Rand: A Sense of Life,False,1.0
1998,Other,Michèle Ohayon/Julia Schachter,Colors Straight Up,False,1.0
1998,Other,Spike Lee/Sam Pollard,4 Little Girls,False,1.0
1998,Other,Rabbi Marvin Hier/Richard Trank,The Long Way Home,True,1.0
1998,Other,Dan Gifford/William Gazecki,Waco: The Rules of Engagement,False,1.0
1998,Other,George Casey/Paul Novros,Alaska: Spirit of the Wild,False,1.0
1998,Other,Kieth Merrill/Jonathan Stern,Amazon,False,1.0
1998,Other,Terri Randall,Daughter of the Bride,False,1.0
1998,Other,Mel Damski/Andrea Blaugrund,Still Kicking: The Fabulous Palm Springs Follies,False,1.0
1998,Other,Donna Dewey/Carol Pasternak,A Story of Healing,True,1.0
1998,Film Editing,Richard Francis-Bruce,Air Force One,False,2.0
1998,Film Editing,Richard Marks,As Good as It Gets,False,7.0
1998,Film Editing,Pietro Scalia,Good Will Hunting,False,9.0
1998,Film Editing,Peter Honess,L.A. Confidential,False,9.0
1998,Film Editing,Conrad Buff/James Cameron/Richard A. Harris,Titanic,True,14.0
1998,Other,Germany,Beyond Silence,False,1.0
1998,Other,The Netherlands,Character,True,1.0
1998,Other,Brazil,Four Days in September,False,1.0
1998,Other,Spain,Secrets of the Heart,False,1.0
1998,Other,Russia,The Thief,False,1.0
1998,Other,Rick Baker/David LeRoy Anderson,Men in Black,True,3.0
1998,Other,Lisa Westcott/Veronica Brebner/Beverley Binda,Mrs. Brown,False,2.0
1998,Other,Tina Earnshaw/Greg Cannom/Simon Thompson,Titanic,False,14.0
